Author,Review
 It's what the Americans have called crowd-pleasing... which is not at all bad per se. [Full review in Spanish],Pablo A. Scholz
 Green Book lets itself be seen and able to be enjoyed without much guilt. [Full Review in Spanish],Diego Batlle
" Green Book chooses to recreate, with more sympathy than originality, the benevolence of friendship regardless of social differences. [Full Review in Spanish]",Mariana Fernández
" The tone of the film is sympathetic, but too complacent for the theme it's pretending to treat. [Full Review in Spanish]",Benjamín Harguindey
" Green Book is impregnated with funny moments, conveying assertive energy that occasionally resembles the classics.",Filipe Freitas
 Ali's performance certainly merits his Oscar nomination.,Alison Rowat
" Green Book has a race problem, but it delivers cringeworthy depictions of women and gay men too.",Li Lai
" Nuanced in places, tellingly clunky in others, its central idea is old-fashioned yet beguiling: that racism can be defeated if only people get to know each other. Still, Mortensen is excellent and Ali outstanding as an unexpected friendship takes root.",Sarah Cartland
" The film has a warm, congenially progressive vibe and a wonderfully street line of humour.",Jim Schembri
 This film coddles white viewers to make them feel good on the inside while black/people of colour viewers are left looking at a jaded film that wasn't made with a true black perspective in mind.,Jamal-Dean Grootboom
" Green Book is both a joyous and sorrowful film, capturing the humour of an unlikely friendship, and the sadness from watching the effects of deeply ingrained racism.",Shauna Fox
" At the end of the day Green Book has a message that perhaps seems obvious, but is necessary taking into account the time in which we live. [Full review in Spanish]",Abigail Camarillo
 The film becomes inoffensive and without substance because it never earns its ending and never shows us how they truly became friends. [Full Review in Spanish],Erick Estrada
" The film by Peter Farrelly edits reality and does not bother the viewer, reducing a complex problem, like racism, to a fable with a happy ending. [Full Review in Spanish]",Fernanda Solórzano
" Whenever the plot appears ready to crash headlong into cliché, Farrelly avoids the danger with a neat little swerve.",John McDonald
" A glib road movie/buddy picture hybrid that is so slick, stupid and obnoxious that it would not surprise me in the slightest if it did go on to become one of the front-runners in this year's Oscar derby.",Peter Sobczynski
" Green Book feels like a movie lost in time, and we have to do better. We demand better.",Roxana Hadadi
" a warm-hearted, old-fashioned cinematic appeal to our better sensibilities, something that is roundly lacking in the Trump Era of vitriol and division",James Kendrick
" [Mahershala Ali] is perfect casting to play this incarnation of Shirley, a savant-like prodigy whose intellect and musical abilities alienate him from virtually everybody.",Stephen Porzio
 Do not miss it. [Full review in Spanish],William Venegas
 [A] flawed but oddly joyful movie elevated far above its limitations by two sublime performances.,Matthew Norman 
 Mahershala Ali's performance shines through despite ill-judged moments from director Peter Farrelly.,Wendy Ide
 A portly Mortensen just about shaves Ali with a transformative performance but they make a nifty double act regardless.,Hilary A White
" The performances strengthen each other as the film progresses, Ali drily amused and withheld, Mortensen earthy and expansive.",Tom Shone
" A funny, touching, and un-cynical road movie with an infectiously jubilant lead duo, it's a total knockout.",Jack Blackwell
" Green Book is a film about racism told by white people. And it really, really shows.",Harris Dang
" Everything is simple and yet it works. Effectively, effective. [Full Review in Spanish]",Luis Martínez
 Green Book owes some of its likability to Capra and to mediocre imitators that play with a secure and almost always infallible formula. [Full Review in Spanish],Carlos Boyero
" Two fine performances, but Peter Farrelly's movie sugar-coats the hard questions.",Adam Sweeting
 What's not up for debate is that the magic of screen chemistry is once again showcased as Ali and Mortensen bring out the best in each other and their respective characters.,Harry Guerin
" A bizarre fish-out-of-water comedy masquerading as a serious awards-season contender by pretending to address the deep wound of racial inequality while demonstrating its profound inability, intellectually and dramatically, to do that.",Kevin Maher
" [A] sweet, engagingly unsubtle picture.",Brian Viner
" Not previously known for his comic timing, Mortensen hilariously inhabits the pugnacious but fair-minded Tony, who constantly dispenses unasked for opinions.",Paul Whitington
" Excellent, nuanced performances from both leads elevate the movie above its good natured but rather bog-standard, neatly packaged beats.",Rosie Fletcher
" Even with admirable acting, and such a crowd-pleasing, inspirational story, Green Book essentially feels like civil-rights lip-service for a white audience... it's a disappointing portrayal of historical systemic racism. ",Zoe Margolis
" True, Ali acts the hell out of his role, but his interpretation of the character is too constrained by the anti-intellectual lens through which we're being forced to view him.",Alistair Harkness
 Such a cosy and ultimately heartwarming story won't satisfy everyone - but Mortensen and Ali are so good together it's absolutely worth soaking up the hope it proffers.,Jamie East
" [Green Book]... flees from the typical trappings of the biopic genre to which it belongs, offering a quite universal story. [Full review in Spanish]",José Martín
" So much fun in the moment, you almost feel bad later on for realising it doesn't add up.",Robbie Collin
" This is a movie about insulting stereotypes and the dirigiste devices of organised racism that delivers its own, audience-insulting stereotypes, with a tonne of dramatic directionalism.",Nigel Andrews
" Where Green Book runs into trouble is if you scratch even a millimetre beneath its fuzzy, warm surface.",Wenlei Ma
 Ali and Mortensen make a tremendously engaging odd couple. Both give such nuanced and well-observed performances that most audiences will swallow the sentimental moralising as easily as Tony digests his hot dogs.,Geoffrey Macnab
" It's hard not to like this film, but it's also proof that audiences do like to hear fairytales. [Full Review in Spanish]",Alberto Corona
" There are a few cheesy moments as the two men learn life lessons from each other but the acting is a joy, the co-stars coaxing complexities from their characters. ",Larushka Ivan-Zadeh
" Ali presents Shirley as a fierce pioneer, whose bravery and humanity is easy to admire.",Rob Carnevale
 ...much of this is cringe-inducing from the vantage point of 2018.,Josh Larsen
" Well, it's a handsomely made and watchable picture and there is a real warmth in Ali and Mortensen's performances.",Peter Bradshaw
 Just enough (laughing) gas in the tank to merit its two-hour runtime.,Adam Woodward
" Mortensen and Ali make an irresistible duo in a well-meaning and touching, albeit slightly misjudged film...",Emma Simmonds
" The occupation with racism in 1960s America is translated in the movie into simplistic, sentimental kitsch, which creates for present-day America a reactionary white fantasy.",Uri Klein
 The gears engage. The motor runs smoothly. The destination is achieved. There are worse things in heaven and earth.,Donald Clarke
 Peter Farrelly's Green Book offers an exploration of racism fatally undermined by white saviour syndrome.,Roe McDermott
" That is the true journey of Green Book, the one made by two antagonistic men until they realize that they are the same. [Full review in Spanish]",Andrea G. Bermejo
" It is certainly a heartfelt, possibly an accurate portrayal of a wonderful, life-affirming friendship. It absolutely suggests that we are all capable of change. But, as social commentary, it's far too gentle...",Nikki Baughan
" There is a surprising amount of charm that manages to sell the preposterous schmaltz, making it feel entertaining, if slight.",Alistair Ryder
" Awards-bait or not, Green Book plays as a deftly disarming film about friendship and unity in divisive times: calculated, perhaps, but calculated from a kind, sincere place.",Kevin Harley
" A supremely likeable film. Its message might seem obvious and its template overcooked, but it boasts a warm heart, with two astoundingly good lead performances to guide it home.",John Nugent
" While there isn't some glorious solution offered here as a way to end racism and intolerance forever, there is a sense of hope and a sweetness of spirit...",David 'Mad Dog' Bradley
" Farrelly is seeking to entertain with Green Book, not to provoke. The performances of his actors - Mortensen, rarely better, and Ali - make it all worthwhile. ",David Stratton
" With great performances and a soundtrack that revs your soul, it's a film well worth your time and money.",Pamela Powell
" 'Green Book' has all the hallmarks of a new American classic. But dig a little deeper and you'll soon discover this ""feel-good"" film is problematic as all hell, making its adoration by awards season rather infuriating.",Doug Jamieson
" Like its (white) protagonist, Green Book is limited by its own blinkered perspective. Some will no doubt find its revelations minor at best, or pointless at worst; but as a character study... it's surprisingly frank.",Angelo Muredda
" Green Book is a genuinely irresistible feel good film of the highest calibre, capturing a rare spark between two great actors while maintaining a fire in its belly when it comes to matters of acceptance, tolerance and understanding.",Leigh Paatsch
" The performances are superb, on the back of a tight script.",Paul Byrnes
 The odd-couple comic setups feel easy and unforced. There is genuine chemistry between the brash Vallelonga and the stuffy Shirley. ,John Lui
 The lead actors build an enjoyable back-and-forth chemistry that elevates the film's quality even as it strikes highly predictable and archetypal beats. ,Damien Straker
" The final destination may feel a tad too precious, but embarking on this inspirational journey is still well worth it.",Jeanmarie Tan
 Green Book is a very condescending and familiar portrait of racism in the United States and the greatest virtue of this movie is the serene performance of Mahershala Ali.,Jorge (JJ) Negrete
" Mortensen, rarely seen in comic roles, plays the buffoon like a virtuoso. And Ali...finds dignity in the most unlikely of places. ",Vicky Roach
